id,position,type,status,price,room_id
1,A1,VIP,Trống,120000.0,1
2,A2,Sweetbox,Trống,200000.0,1
3,A3,Sweetbox,Trống,200000.0,1
4,A4,Sweetbox,Trống,200000.0,1
5,A5,VIP,Trống,120000.0,1
6,A6,VIP,Trống,120000.0,1
7,A7,VIP,Trống,120000.0,1
8,A8,VIP,Trống,120000.0,1
9,A9,VIP,Trống,120000.0,1
10,A10,VIP,Trống,120000.0,1
11,A11,Sweetbox,Trống,200000.0,1
12,A12,Sweetbox,Trống,200000.0,1
13,A13,Sweetbox,Trống,200000.0,1
14,A14,VIP,Trống,120000.0,1
15,B1,VIP,Trống,120000.0,1
16,B2,VIP,Trống,120000.0,1
17,B3,Sweetbox,Trống,200000.0,1
18,B4,VIP,Trống,120000.0,1
19,B5,Sweetbox,Trống,200000.0,1
20,B6,VIP,Trống,120000.0,1
21,B7,VIP,Trống,120000.0,1
22,B8,VIP,Trống,120000.0,1
23,B9,VIP,Trống,120000.0,1
24,B10,VIP,Trống,120000.0,1
25,B11,VIP,Trống,120000.0,1
26,B12,Sweetbox,Trống,200000.0,1
27,B13,VIP,Trống,120000.0,1
28,B14,VIP,Trống,120000.0,1
29,C1,VIP,Trống,120000.0,1
30,C2,VIP,Trống,120000.0,1
31,C3,Sweetbox,Trống,200000.0,1
32,C4,VIP,Trống,120000.0,1
33,C5,VIP,Trống,120000.0,1
34,C6,Sweetbox,Trống,200000.0,1
35,C7,VIP,Trống,120000.0,1
36,C8,VIP,Trống,120000.0,1
37,C9,Sweetbox,Trống,200000.0,1
38,C10,Sweetbox,Trống,200000.0,1
39,C11,VIP,Trống,120000.0,1
40,C12,VIP,Trống,120000.0,1
41,C13,VIP,Trống,120000.0,1
42,C14,Sweetbox,Trống,200000.0,1
43,D1,VIP,Trống,120000.0,1
44,D2,VIP,Trống,120000.0,1
45,D3,VIP,Trống,120000.0,1
46,D4,VIP,Trống,120000.0,1
47,D5,VIP,Trống,120000.0,1
48,D6,Sweetbox,Trống,200000.0,1
49,D7,Sweetbox,Trống,200000.0,1
50,D8,VIP,Trống,120000.0,1
51,D9,Sweetbox,Trống,200000.0,1
52,D10,VIP,Trống,120000.0,1
53,D11,VIP,Trống,120000.0,1
54,D12,VIP,Trống,120000.0,1
55,D13,Sweetbox,Trống,200000.0,1
56,D14,VIP,Trống,120000.0,1
57,E1,VIP,Trống,120000.0,1
58,E2,VIP,Trống,120000.0,1
59,E3,VIP,Trống,120000.0,1
60,E4,Sweetbox,Trống,200000.0,1
61,E5,VIP,Trống,120000.0,1
62,E6,Sweetbox,Trống,200000.0,1
63,E7,VIP,Trống,120000.0,1
64,E8,VIP,Trống,120000.0,1
65,E9,Sweetbox,Trống,200000.0,1
66,E10,Sweetbox,Trống,200000.0,1
67,E11,Sweetbox,Trống,200000.0,1
